control_id,template,line,kind,tag,label_or_expression,element_id,name,type,destination_or_expression,form_action,form_method,handlers,explicit_disabled,review_candidates,functional_status
CONTROL-01393,templates/partials/analytics/panels/cd_overview.html,50,field,select,Month,,month,,,/analytics/country-director,get,{},False,,Not individually executed
CONTROL-01394,templates/partials/analytics/panels/cd_overview.html,57,field,select,PL,,pl,,,/analytics/country-director,get,{},False,,Not individually executed
CONTROL-01395,templates/partials/analytics/panels/cd_overview.html,64,field,select,Region,,region,,,/analytics/country-director,get,{},False,,Not individually executed
CONTROL-01396,templates/partials/analytics/panels/cd_overview.html,71,field,select,District,,district,,,/analytics/country-director,get,{},False,,Not individually executed
CONTROL-01397,templates/partials/analytics/panels/cd_overview.html,78,field,select,Partner,,partner,,,/analytics/country-director,get,{},False,,Not individually executed
CONTROL-01398,templates/partials/analytics/panels/cd_overview.html,85,field,select,Cluster,,cluster,,,/analytics/country-director,get,{},False,,Not individually executed
CONTROL-01399,templates/partials/analytics/panels/cd_overview.html,92,field,select,Activity type,,activity_type,,,/analytics/country-director,get,{},False,,Not individually executed
CONTROL-01400,templates/partials/analytics/panels/cd_overview.html,101,link,a,Reset Filters,,,,/analytics/country-director,/analytics/country-director,get,"{""hx-get"": ""/analytics/country-director"", ""hx-target"": ""#analytics-scope"", ""hx-swap"": ""innerHTML"", ""hx-push-url"": ""true""}",False,,Not individually executed
CONTROL-01401,templates/partials/analytics/panels/closure_impact.html,28,field,select,Period,,period,,,/analytics/school-closures,get,{},False,,Not individually executed
CONTROL-01402,templates/partials/analytics/panels/closure_impact.html,35,field,select,Group by,,by,,,/analytics/school-closures,get,{},False,,Not individually executed
CONTROL-01403,templates/partials/analytics/panels/closure_quality.html,24,field,select,Period,,period,,,/analytics/closure-quality,get,{},False,,Not individually executed
CONTROL-01404,templates/partials/analytics/panels/completed_work.html,63,link,a,View Record,,,,/completed-activities/{{ act.id }}/,,,{},False,,Not individually executed
CONTROL-01405,templates/partials/analytics/panels/core_school_health.html,24,field,select,FY {{ option }},fy-select,fy,,,,GET,"{""@change"": ""$el.form.requestSubmit()""}",False,,Not individually executed
CONTROL-01406,templates/partials/analytics/panels/decision_intelligence.html,17,field,select,FY {{ option }},fy-select,fy,,,,GET,"{""@change"": ""$el.form.requestSubmit()""}",False,,Not individually executed
CONTROL-01407,templates/partials/analytics/panels/decision_intelligence.html,27,button,button,Rescan FY {{ fy }},,,submit,,,POST,{},False,,Not individually executed
CONTROL-01408,templates/partials/analytics/panels/decision_log.html,20,field,select,Last {{ option }} days,days-select,days,,,,GET,"{""@change"": ""$el.form.requestSubmit()""}",False,,Not individually executed
CONTROL-01409,templates/partials/analytics/panels/decision_log.html,26,link,a,All,,,,?days={{ log.days }},,,{},False,,Not individually executed
CONTROL-01410,templates/partials/analytics/panels/decision_log.html,28,link,a,{{ g }},,,,?group={{ g }}&days={{ log.days }},,,{},False,,Not individually executed
CONTROL-01411,templates/partials/analytics/panels/declining_schools.html,30,field,select,FY {{ option }},fy-select,fy,,,,GET,"{""@change"": ""$el.form.requestSubmit()""}",False,,Not individually executed
CONTROL-01412,templates/partials/analytics/panels/declining_schools.html,116,link,a,,,,,/schools/{{ s.schoolId }},,,{},False,,Not individually executed
CONTROL-01413,templates/partials/analytics/panels/pl_overview.html,18,link,a,Review At-Risk Schools,,,,/analytics/program-lead/drilldown?drill=risk&fy={{ fy }}                &quarter={{ quarter }}           ,,,"{""hx-get"": ""/analytics/program-lead/drilldown?drill=risk&fy={{ fy }}                &quarter={{ quarter }}           "", ""hx-target"": ""#drawer-container"", ""hx-swap"": ""innerHTML""}",False,,Not individually executed
CONTROL-01414,templates/partials/analytics/panels/pl_overview.html,35,field,select,Fiscal year,,fy,,,/analytics/program-lead,get,{},False,,Not individually executed
CONTROL-01415,templates/partials/analytics/panels/pl_overview.html,41,field,select,Quarter,,quarter,,,/analytics/program-lead,get,{},False,,Not individually executed
CONTROL-01416,templates/partials/analytics/panels/pl_overview.html,48,field,select,District,,district,,,/analytics/program-lead,get,{},False,,Not individually executed
CONTROL-01417,templates/partials/analytics/panels/pl_overview.html,55,field,select,Cluster,,cluster,,,/analytics/program-lead,get,{},False,,Not individually executed
CONTROL-01418,templates/partials/analytics/panels/pl_overview.html,62,field,select,CCEO,,cceo,,,/analytics/program-lead,get,{},False,,Not individually executed
CONTROL-01419,templates/partials/analytics/panels/pl_overview.html,69,field,select,Partner,,partner,,,/analytics/program-lead,get,{},False,,Not individually executed
CONTROL-01420,templates/partials/analytics/panels/pl_overview.html,76,field,select,School type,,school_type,,,/analytics/program-lead,get,{},False,,Not individually executed
CONTROL-01421,templates/partials/analytics/panels/pl_overview.html,83,field,select,Activity type,,activity_type,,,/analytics/program-lead,get,{},False,,Not individually executed
CONTROL-01422,templates/partials/analytics/panels/pl_overview.html,88,link,a,Reset Filters,,,,/analytics/program-lead,/analytics/program-lead,get,"{""hx-get"": ""/analytics/program-lead"", ""hx-target"": ""#analytics-scope"", ""hx-swap"": ""innerHTML"", ""hx-push-url"": ""true""}",False,,Not individually executed
CONTROL-01423,templates/partials/analytics/panels/reports.html,10,field,select,FY {{ opt }},reports-fiscal-year,fy,,,,get,"{""@change"": ""$el.form.requestSubmit()""}",False,,Not individually executed
CONTROL-01424,templates/partials/analytics/panels/reports.html,77,disclosure,summary,"Performance insightsTrend, target health and management priorities",,,,,,,{},False,,Not individually executed
CONTROL-01425,templates/partials/analytics/panels/ssa_performance.html,10,link,a,Add SSA Score,,,,/ssa/manual/,,,{},False,,Not individually executed
CONTROL-01426,templates/partials/analytics/panels/ssa_performance.html,11,link,a,Upload Center,,,,/uploads,,,{},False,,Not individually executed
CONTROL-01427,templates/partials/analytics/panels/visit_effectiveness.html,19,field,select,School type,,school_type,,,/analytics/visit-effectiveness,get,"{""hx-trigger"": ""change""}",False,,Not individually executed
CONTROL-01428,templates/partials/analytics/pl/body.html,23,disclosure,summary,"Performance driversTeam, intervention, district and cluster comparisons",,,,,,,{},False,,Not individually executed
CONTROL-01429,templates/partials/analytics/pl/body.html,40,disclosure,summary,"Impact and field executionSchool movement, CCEO delivery, activity volume and service coverage",,,,,,,{},False,,Not individually executed
CONTROL-01430,templates/partials/analytics/pl/body.html,65,disclosure,summary,Reporting evidenceDonor-ready summary derived from the same scoped records,,,,,,,{},False,,Not individually executed
CONTROL-01431,templates/partials/analytics/pl/insights.html,15,button,button,View,,,button,/analytics/program-lead/drilldown{{ i.link }}&fy={{ fy }}                &quarter={{ quarter }}           ,,,"{""hx-get"": ""/analytics/program-lead/drilldown{{ i.link }}&fy={{ fy }}                &quarter={{ quarter }}           "", ""hx-target"": ""#drawer-container"", ""hx-swap"": ""innerHTML""}",False,,Not individually executed
CONTROL-01432,templates/partials/analytics/pl/insights.html,31,button,button,{{ insights.cta }},,,button,/analytics/program-lead/drilldown{{ insights.cta_link }}&fy={{ fy }}                &quarter={{ quarter }}           ,,,"{""hx-get"": ""/analytics/program-lead/drilldown{{ insights.cta_link }}&fy={{ fy }}                &quarter={{ quarter }}           "", ""hx-target"": ""#drawer-container"", ""hx-swap"": ""innerHTML""}",False,,Not individually executed
CONTROL-01433,templates/partials/analytics/pl/risk_list.html,9,button,button,View full risk list →,,,button,/analytics/program-lead/drilldown?drill=risk&fy={{ fy }}                &quarter={{ quarter }}           ,,,"{""hx-get"": ""/analytics/program-lead/drilldown?drill=risk&fy={{ fy }}                &quarter={{ quarter }}           "", ""hx-target"": ""#drawer-container"", ""hx-swap"": ""innerHTML""}",False,,Not individually executed
CONTROL-01434,templates/partials/analytics/recommended_insights.html,14,link,a,{{ insight.label }} {{ insight.count }} {{ insight.description }},,,,/analytics/drilldown?metric={{ insight.key }}&fy={{ filters.selected_fy }}                                 &quarter={{ filters.selected_quarter }}           ,,,"{""hx-get"": ""/analytics/drilldown?metric={{ insight.key }}&fy={{ filters.selected_fy }}                                 &quarter={{ filters.selected_quarter }}           "", ""hx-target"": ""#drawer-container"", ""hx-swap"": ""innerHTML""}",False,,Not individually executed
CONTROL-01435,templates/partials/analytics/recommended_insights.html,68,link,a,View Action Plan,,,,/planning,,,{},False,,Not individually executed
CONTROL-01436,templates/partials/analytics/regional_performance.html,54,button,button,· Esc,,,button,,,,"{""@click"": ""back()""}",False,,Not individually executed
CONTROL-01437,templates/partials/analytics/regional_performance.html,84,button,button,Try again,,,button,,,,"{""@click"": ""load()""}",False,,Not individually executed
CONTROL-01438,templates/partials/analytics/regional_performance.html,102,button,button,Retry,,,button,,,,"{""@click.stop"": ""retrySubcounties()""}",False,,Not individually executed
CONTROL-01439,templates/partials/analytics/regional_performance.html,205,button,button,,,,button,,,,"{""@click.stop"": ""toggleSchoolType(type.key)""}",False,No static label; check rendered accessible name,Not individually executed
CONTROL-01440,templates/partials/analytics/regional_performance.html,307,disclosure,summary,About SSA ·,,,,,,,{},False,,Not individually executed
CONTROL-01441,templates/partials/analytics/schedule_report_drawer.html,27,field,input,targets,,categories,checkbox,,/analytics/schedule-report,post,{},False,,Not individually executed
CONTROL-01442,templates/partials/analytics/schedule_report_drawer.html,28,field,input,training,,categories,checkbox,,/analytics/schedule-report,post,{},False,,Not individually executed
CONTROL-01443,templates/partials/analytics/schedule_report_drawer.html,29,field,input,reach,,categories,checkbox,,/analytics/schedule-report,post,{},False,,Not individually executed
CONTROL-01444,templates/partials/analytics/schedule_report_drawer.html,30,field,input,ssa,,categories,checkbox,,/analytics/schedule-report,post,{},False,,Not individually executed
CONTROL-01445,templates/partials/analytics/schedule_report_drawer.html,41,button,button,Cancel,,,button,,/analytics/schedule-report,post,"{""@click"": ""$dispatch('close-drawer')""}",False,,Not individually executed
CONTROL-01446,templates/partials/analytics/schedule_report_drawer.html,42,button,button,Send to Inbox,,,submit,,/analytics/schedule-report,post,{},False,,Not individually executed
CONTROL-01447,templates/partials/analytics/scope.html,22,disclosure,summary,"Analytics filters Change period, geography, or programme scope ⌄",,,,,,,{},False,,Not individually executed
CONTROL-01448,templates/partials/analytics/tab_rail.html,25,tab,a,{{ section.description }},analytics-tab-{{ section.key }},,,{{ section.url }},,,"{""hx-get"": ""{{ section.url }}"", ""hx-target"": ""#analytics-scope"", ""hx-swap"": ""innerHTML"", ""hx-push-url"": ""true"", ""hx-indicator"": ""#analytics-panel-updating""}",False,,Not individually executed
CONTROL-01449,templates/partials/analytics/target_by_district.html,19,link,a,View reports,,,,/reports,,,{},False,,Not individually executed
CONTROL-01450,templates/partials/analytics/target_by_district.html,24,button,button,All sub-regions {{ target_by_district_summary.districts|default:0 }},,,button,,,,"{""@click"": ""filter = 'all'""}",False,,Not individually executed
CONTROL-01451,templates/partials/analytics/target_by_district.html,27,button,button,Needs attention {{ target_by_district_summary.attention|default:0 }},,,button,,,,"{""@click"": ""filter = 'attention'""}",False,,Not individually executed
CONTROL-01452,templates/partials/analytics/target_by_district.html,30,button,button,Critical {{ target_by_district_summary.critical|default:0 }},,,button,,,,"{""@click"": ""filter = 'critical'""}",False,,Not individually executed
CONTROL-01453,templates/partials/analytics/target_by_district.html,46,disclosure,summary,{{ group.name }} {{ group.region }} · {{ group.districts|length }} district{{ group.districts|length|pluralize }} {{ group.critical_count }} critical {{ group.watch_count }} watch {{ group.pct }}% delivered No activity plan,,,,,,,{},False,,Not individually executed
CONTROL-01454,templates/partials/analytics/target_by_district.html,91,button,button,,,,button,,,,"{""@click"": ""expanded = !expanded""}",False,No static label; check rendered accessible name,Not individually executed
CONTROL-01455,templates/partials/analytics/visit_effectiveness_workspace.html,199,disclosure,summary,"Methodology and limitationsComparison cohorts, exclusions and interpretation rules",,,,,,,{},False,,Not individually executed
CONTROL-01456,templates/partials/analytics/visit_effectiveness_workspace.html,226,link,a,,,,,/schools/{{ item.school_id }},,,{},False,,Not individually executed
CONTROL-01457,templates/partials/business_transformation/loan_drawer.html,3,button,button,Close loan details,,,button,,,,"{""@click"": ""open = false; document.getElementById('drawer-container').innerHTML = ''""}",False,,Not individually executed
CONTROL-01458,templates/partials/business_transformation/loan_drawer.html,15,button,button,Close,,,button,,,,"{""@click"": ""open = false; document.getElementById('drawer-container').innerHTML = ''""}",False,,Not individually executed
CONTROL-01459,templates/partials/business_transformation/loan_drawer.html,40,field,input,Loan-19650,salesforce-loan-{{ loan.id }},salesforceLoanId,text,,/loans/{{ loan.id }}/salesforce-confirmation,post,{},False,,Not individually executed
CONTROL-01460,templates/partials/business_transformation/loan_drawer.html,43,button,button,Confirm & Complete,,,submit,,/loans/{{ loan.id }}/salesforce-confirmation,post,{},False,,Not individually executed
CONTROL-01461,templates/partials/business_transformation/loan_drawer.html,51,field,input,verified,,decision,radio,,/loans/{{ loan.id }}/ia-validation,post,{},False,,Not individually executed
CONTROL-01462,templates/partials/business_transformation/loan_drawer.html,52,field,input,returned,,decision,radio,,/loans/{{ loan.id }}/ia-validation,post,{},False,,Not individually executed
CONTROL-01463,templates/partials/business_transformation/loan_drawer.html,55,field,textarea,,ia-reason-{{ loan.id }},reason,,,/loans/{{ loan.id }}/ia-validation,post,{},False,,Not individually executed
CONTROL-01464,templates/partials/business_transformation/loan_drawer.html,56,button,button,Submit IA Decision,,,submit,,/loans/{{ loan.id }}/ia-validation,post,{},False,,Not individually executed
CONTROL-01465,templates/partials/business_transformation/portfolio.html,16,link,a,,,,,                                                                 ,,,{},False,,Not individually executed
CONTROL-01466,templates/partials/business_transformation/portfolio.html,44,link,a,,,,,                                                        ,,,{},False,,Not individually executed
CONTROL-01467,templates/partials/business_transformation/school_portfolio_filters.html,17,field,input,{{ fy }},bt-portfolio-fy,fy,,,{{ endpoint }},get,{},False,,Not individually executed
CONTROL-01468,templates/partials/business_transformation/school_portfolio_filters.html,18,field,select,All regions {{ region.name }},bt-portfolio-region,region,,,{{ endpoint }},get,{},False,,Not individually executed
CONTROL-01469,templates/partials/business_transformation/school_portfolio_filters.html,19,field,select,All districts {{ district.name }},bt-portfolio-district,district,,,{{ endpoint }},get,{},False,,Not individually executed
CONTROL-01470,templates/partials/business_transformation/school_portfolio_filters.html,20,field,select,All partners {{ partner.name }},bt-portfolio-partner,partner,,,{{ endpoint }},get,{},False,,Not individually executed
CONTROL-01471,templates/partials/business_transformation/school_portfolio_filters.html,21,field,select,All support statesPartner assignedSupport deliveredFollow-up overdue,bt-portfolio-support,support_status,,,{{ endpoint }},get,{},False,,Not individually executed
CONTROL-01472,templates/partials/business_transformation/school_portfolio_list.html,24,field,select,{{ size }},bt-rows-per-page,,,,,,"{""@change"": ""const s=document.getElementById('bt-portfolio-per-page');const p=document.getElementById('bt-portfolio-page');if(p)p.value='1';if(s){s.value=$event.target.value;s.dispatchEvent(new Event('change',{bubbles:true}))}""}",False,,Not individually executed
CONTROL-01473,templates/partials/business_transformation/school_portfolio_list.html,25,button,button,Prev,,,button,,,,"{""@click"": ""const p=document.getElementById('bt-portfolio-page');p.value='{{ page_obj.previous_page_number }}';p.dispatchEvent(new Event('change',{bubbles:true}))""}",False,,Not individually executed
CONTROL-01474,templates/partials/business_transformation/school_portfolio_list.html,26,button,button,Page {{ num }},,,button,,,,"{""@click"": ""const p=document.getElementById('bt-portfolio-page');p.value='{{ num }}';p.dispatchEvent(new Event('change',{bubbles:true}))""}",False,,Not individually executed
CONTROL-01475,templates/partials/business_transformation/school_portfolio_list.html,27,button,button,Next,,,button,,,,"{""@click"": ""const p=document.getElementById('bt-portfolio-page');p.value='{{ page_obj.next_page_number }}';p.dispatchEvent(new Event('change',{bubbles:true}))""}",False,,Not individually executed
CONTROL-01476,templates/partials/business_transformation/school_portfolio_row.html,4,button,button,,,,button,,,,"{""@click"": ""openSchoolId = openSchoolId === '{{ school.id }}' ? null : '{{ school.id }}'"", ""@keydown.escape.window"": ""openSchoolId = null""}",False,No static label; check rendered accessible name,Not individually executed
CONTROL-01477,templates/partials/business_transformation/school_portfolio_row.html,9,button,button,Plan support for {{ school.name }},,,button,/planning/schedule-modal?school_id={{ school.school_id }},,,"{""hx-get"": ""/planning/schedule-modal?school_id={{ school.school_id }}"", ""hx-target"": ""#drawer-container"", ""hx-swap"": ""innerHTML""}",False,,Not individually executed
CONTROL-01478,templates/partials/business_transformation/school_portfolio_row.html,9,link,a,Monitor support for {{ school.name }},,,,                                                   ,,,{},False,,Not individually executed
CONTROL-01479,templates/partials/business_transformation/school_portfolio_row.html,9,link,a,View support for {{ school.name }},,,,                                                   ,,,{},False,,Not individually executed
CONTROL-01480,templates/partials/business_transformation/workspace_nav.html,4,link,a,BT Overview,,,,/business-transformation/overview,,,{},False,,Not individually executed
CONTROL-01481,templates/partials/business_transformation/workspace_nav.html,6,link,a,Loans,,,,/loans,,,{},False,,Not individually executed
CONTROL-01482,templates/partials/business_transformation/workspace_nav.html,8,link,a,Business Accounting & Finance,,,,/business-transformation/business-accounting-finance,,,{},False,,Not individually executed
CONTROL-01483,templates/partials/business_transformation/workspace_nav.html,9,link,a,Government Requirements,,,,/business-transformation/government-requirements,,,{},False,,Not individually executed
CONTROL-01484,templates/partials/business_transformation/workspace_nav.html,10,link,a,Impact & Reports,,,,/business-transformation/impact-reports,,,{},False,,Not individually executed
CONTROL-01485,templates/partials/calendar/event.html,6,link,a,{{ event.tooltip }},,,,{{ event.href }},,,{},False,,Not individually executed
CONTROL-01486,templates/partials/catalogue/new_activity_drawer.html,25,field,input,e.g. OneTest Diagnostic Visit,,name,,,/settings/activity-catalogue/new,post,{},False,,Not individually executed
CONTROL-01487,templates/partials/catalogue/new_activity_drawer.html,31,field,input,{{ value }},,kind,radio,,/settings/activity-catalogue/new,post,{},False,,Not individually executed
CONTROL-01488,templates/partials/catalogue/new_activity_drawer.html,38,field,select,{{ label }},,activity_type,,,/settings/activity-catalogue/new,post,{},False,,Not individually executed
CONTROL-01489,templates/partials/catalogue/new_activity_drawer.html,44,field,select,{{ label }},,delivery_method,,,/settings/activity-catalogue/new,post,{},False,,Not individually executed
CONTROL-01490,templates/partials/catalogue/new_activity_drawer.html,50,field,select,{{ label }},,costing_profile,,,/settings/activity-catalogue/new,post,{},False,,Not individually executed
CONTROL-01491,templates/partials/catalogue/new_activity_drawer.html,56,field,select,None {{ label }},,intervention,,,/settings/activity-catalogue/new,post,{},False,,Not individually executed
CONTROL-01492,templates/partials/catalogue/new_activity_drawer.html,65,field,input,School staff,,target_audience,,,/settings/activity-catalogue/new,post,{},False,,Not individually executed
CONTROL-01493,templates/partials/catalogue/new_activity_drawer.html,70,field,input,1,,participant_counts,checkbox,,/settings/activity-catalogue/new,post,{},False,,Not individually executed
CONTROL-01494,templates/partials/catalogue/new_activity_drawer.html,71,field,input,1,,multi_day,checkbox,,/settings/activity-catalogue/new,post,{},False,,Not individually executed
CONTROL-01495,templates/partials/catalogue/new_activity_drawer.html,76,field,input,The reason is kept on the activity's record,,reason,,,/settings/activity-catalogue/new,post,{},False,,Not individually executed
CONTROL-01496,templates/partials/catalogue/new_activity_drawer.html,80,button,button,Cancel,,,button,,/settings/activity-catalogue/new,post,"{""@click"": ""requestClose()""}",False,,Not individually executed
CONTROL-01497,templates/partials/catalogue/new_activity_drawer.html,81,button,button,Add activity,,,submit,,/settings/activity-catalogue/new,post,{},False,,Not individually executed
CONTROL-01498,templates/partials/clusters/bulk_assign_drawer.html,56,field,input,Search schools by name or ID...,,,text,,,,{},False,,Not individually executed
CONTROL-01499,templates/partials/clusters/bulk_assign_drawer.html,67,field,input,,,,checkbox,,,,"{""@change"": ""toggleAll($event.target.checked)""}",False,,Not individually executed
CONTROL-01500,templates/partials/clusters/bulk_assign_drawer.html,99,field,input,{{ s.id }},,school_ids,checkbox,,/clusters/{{ cluster.id }}/bulk-assign-drawer,get,"{""@change"": ""updateMetrics()""}",False,,Not individually executed
CONTROL-01501,templates/partials/clusters/bulk_assign_drawer.html,157,button,button,Cancel,,,button,,/clusters/{{ cluster.id }}/bulk-assign-drawer,get,"{""@click"": ""$dispatch('close-drawer')""}",False,,Not individually executed
CONTROL-01502,templates/partials/clusters/bulk_assign_drawer.html,164,button,button,Assign Checked Schools,,,submit,,/clusters/{{ cluster.id }}/bulk-assign-drawer,get,{},False,,Not individually executed
CONTROL-01503,templates/partials/clusters/cluster_action_planner_drawer.html,43,field,select,Cluster ID,,cluster_id,,/clusters/planner-drawer,/clusters/schedule-activity,post,"{""hx-get"": ""/clusters/planner-drawer"", ""hx-target"": ""#drawer-container"", ""hx-swap"": ""innerHTML"", ""hx-include"": ""#action-planner-form""}",False,,Not individually executed
CONTROL-01504,templates/partials/clusters/cluster_action_planner_drawer.html,84,field,input,training,cluster-activity-training,activity_type,radio,/clusters/planner-drawer,/clusters/schedule-activity,post,"{""hx-get"": ""/clusters/planner-drawer"", ""hx-target"": ""#drawer-container"", ""hx-swap"": ""innerHTML"", ""hx-include"": ""#action-planner-form""}",False,,Not individually executed
CONTROL-01505,templates/partials/clusters/cluster_action_planner_drawer.html,98,field,input,meeting,cluster-activity-meeting,activity_type,radio,/clusters/planner-drawer,/clusters/schedule-activity,post,"{""hx-get"": ""/clusters/planner-drawer"", ""hx-target"": ""#drawer-container"", ""hx-swap"": ""innerHTML"", ""hx-include"": ""#action-planner-form""}",False,,Not individually executed
CONTROL-01506,templates/partials/clusters/cluster_action_planner_drawer.html,160,field,select,Select a training…,planner_training_activity,catalogue_item_id,,,/clusters/schedule-activity,post,{},False,,Not individually executed
CONTROL-01507,templates/partials/clusters/cluster_action_planner_drawer.html,187,field,input,Teachers per school,teachers_per_school,teachers_per_school,number,/clusters/cost-preview,/clusters/schedule-activity,post,"{""hx-get"": ""/clusters/cost-preview"", ""hx-target"": ""#planner-cost-preview-container"", ""hx-trigger"": ""input changed delay:250ms, change"", ""hx-include"": ""#action-planner-form""}",False,,Not individually executed
CONTROL-01508,templates/partials/clusters/cluster_action_planner_drawer.html,195,field,input,School leaders per school,leaders_per_school,leaders_per_school,number,/clusters/cost-preview,/clusters/schedule-activity,post,"{""hx-get"": ""/clusters/cost-preview"", ""hx-target"": ""#planner-cost-preview-container"", ""hx-trigger"": ""input changed delay:250ms, change"", ""hx-include"": ""#action-planner-form""}",False,,Not individually executed
CONTROL-01509,templates/partials/clusters/cluster_action_planner_drawer.html,203,field,input,Other participants per school,other_per_school,other_per_school,number,/clusters/cost-preview,/clusters/schedule-activity,post,"{""hx-get"": ""/clusters/cost-preview"", ""hx-target"": ""#planner-cost-preview-container"", ""hx-trigger"": ""input changed delay:250ms, change"", ""hx-include"": ""#action-planner-form""}",False,,Not individually executed
CONTROL-01510,templates/partials/clusters/cluster_action_planner_drawer.html,224,button,button,Select all,,,button,,/clusters/schedule-activity,post,"{""@click"": ""toggleAll()""}",False,,Not individually executed
CONTROL-01511,templates/partials/clusters/cluster_action_planner_drawer.html,232,field,input,{{ s.id }},,invited_school_ids,checkbox,/clusters/cost-preview,/clusters/schedule-activity,post,"{""@change"": ""syncInvited()"", ""hx-get"": ""/clusters/cost-preview"", ""hx-target"": ""#planner-cost-preview-container"", ""hx-trigger"": ""change"", ""hx-include"": ""#action-planner-form""}",False,,Not individually executed
CONTROL-01512,templates/partials/clusters/cluster_action_planner_drawer.html,288,field,input,Teachers per school,teachers_per_school,teachers_per_school,number,/clusters/cost-preview,/clusters/schedule-activity,post,"{""hx-get"": ""/clusters/cost-preview"", ""hx-target"": ""#planner-cost-preview-container"", ""hx-trigger"": ""input changed delay:250ms, change"", ""hx-include"": ""#action-planner-form""}",False,,Not individually executed
CONTROL-01513,templates/partials/clusters/cluster_action_planner_drawer.html,296,field,input,School leaders per school,leaders_per_school,leaders_per_school,number,/clusters/cost-preview,/clusters/schedule-activity,post,"{""hx-get"": ""/clusters/cost-preview"", ""hx-target"": ""#planner-cost-preview-container"", ""hx-trigger"": ""input changed delay:250ms, change"", ""hx-include"": ""#action-planner-form""}",False,,Not individually executed
CONTROL-01514,templates/partials/clusters/cluster_action_planner_drawer.html,304,field,input,Other participants per school,other_per_school,other_per_school,number,/clusters/cost-preview,/clusters/schedule-activity,post,"{""hx-get"": ""/clusters/cost-preview"", ""hx-target"": ""#planner-cost-preview-container"", ""hx-trigger"": ""input changed delay:250ms, change"", ""hx-include"": ""#action-planner-form""}",False,,Not individually executed
CONTROL-01515,templates/partials/clusters/cluster_action_planner_drawer.html,320,field,select,Focus intervention,,focus_intervention,,,/clusters/schedule-activity,post,{},False,,Not individually executed
CONTROL-01516,templates/partials/clusters/cluster_action_planner_drawer.html,337,field,input,{{ recommendation.headline|default:'e.g. Focus on Leadership strategies' }},,purpose,text,,/clusters/schedule-activity,post,{},False,,Not individually executed
CONTROL-01517,templates/partials/clusters/cluster_action_planner_drawer.html,355,field,select,Responsible staff ID,,responsible_staff_id,,/clusters/cost-preview,/clusters/schedule-activity,post,"{""hx-get"": ""/clusters/cost-preview"", ""hx-trigger"": ""change"", ""hx-target"": ""#planner-cost-preview-container"", ""hx-include"": ""#action-planner-form""}",False,,Not individually executed
CONTROL-01518,templates/partials/clusters/cluster_action_planner_drawer.html,366,field,select,Responsible staff,,,,,/clusters/schedule-activity,post,{},True,No submitted name or direct model; check JS binding,Not individually executed
CONTROL-01519,templates/partials/clusters/cluster_action_planner_drawer.html,442,button,button,Cancel,,,button,,/clusters/schedule-activity,post,"{""@click"": ""$dispatch('close-drawer')""}",False,,Not individually executed
CONTROL-01520,templates/partials/clusters/cluster_action_planner_drawer.html,451,button,button,Schedule,,,submit,,/clusters/schedule-activity,post,{},False,,Not individually executed
CONTROL-01521,templates/partials/clusters/cluster_card.html,20,link,a,Open {{ cluster.name }} cluster profile,,,,/clusters/{{ cluster.id }},,,"{""@click.stop"": null}",False,,Not individually executed
CONTROL-01522,templates/partials/clusters/cluster_card.html,105,button,button,Schedule training for {{ cluster.name }},,,,/clusters/planner-drawer?cluster_id={{ cluster.id }}&activity_type=training&fixed_cluster=true,,,"{""hx-get"": ""/clusters/planner-drawer?cluster_id={{ cluster.id }}&activity_type=training&fixed_cluster=true"", ""hx-target"": ""#drawer-container"", ""hx-swap"": ""innerHTML""}",False,,Not individually executed
CONTROL-01523,templates/partials/clusters/cluster_card.html,118,button,button,Assign staff to {{ cluster.name }},,,,/planning/assign-partner-modal?cluster_id={{ cluster.id }},,,"{""hx-get"": ""/planning/assign-partner-modal?cluster_id={{ cluster.id }}"", ""hx-target"": ""#drawer-container"", ""hx-swap"": ""innerHTML""}",False,,Not individually executed
CONTROL-01524,templates/partials/clusters/cluster_card.html,132,button,button,,,,button,,,,"{""@click"": ""cardExpanded = !cardExpanded""}",False,No static label; check rendered accessible name,Not individually executed
CONTROL-01525,templates/partials/clusters/cluster_detail_drawer.html,37,button,button,Close Details,,,button,,,,"{""@click"": ""$dispatch('close-drawer')""}",False,,Not individually executed
CONTROL-01526,templates/partials/clusters/cluster_detail_drawer.html,44,button,button,Open Planner,,,,/clusters/planner-drawer?cluster_id={{ cluster.id }}&fixed_cluster=true,,,"{""hx-get"": ""/clusters/planner-drawer?cluster_id={{ cluster.id }}&fixed_cluster=true"", ""hx-target"": ""#drawer-container"", ""hx-swap"": ""innerHTML""}",False,,Not individually executed
CONTROL-01527,templates/partials/clusters/cluster_list.html,16,button,button,Create Cluster,,,,/clusters/create-drawer,,,"{""hx-get"": ""/clusters/create-drawer"", ""hx-target"": ""#drawer-container"", ""hx-swap"": ""innerHTML""}",False,,Not individually executed
CONTROL-01528,templates/partials/clusters/cluster_list.html,25,link,a,Open School Directory,,,,/schools,,,{},False,,Not individually executed
CONTROL-01529,templates/partials/clusters/cluster_list.html,38,button,button,Previous page,,,,/clusters?page={{ page_obj.previous_page_number }},,,"{""hx-get"": ""/clusters?page={{ page_obj.previous_page_number }}"", ""hx-include"": ""#filters-form"", ""hx-target"": ""#clusters-table-container""}",False,,Not individually executed
